bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,base_kV,Vmax,Vmin,coordinates
1,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.2194743763071527 6.634659883395881)
2,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-2.341222258627123 7.027276824635125)
3,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.4497446345699652 8.780309212399324)
4,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (0.0568087514932336 6.29538722159294)
5,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (0.1250593863611581 6.116793970069169)
6,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.9264294886957476 7.576252635986385)
7,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (0.0110649749881924 5.675511665216308)
8,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (0.0628466080336064 6.173962723606681)
9,1,295932761.9047619,0,0,0,1,1,0,330000,1.1,0.9,POINT (0.0007262805766364 5.694728693544055)
10,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (0.0026639336426104 5.695321121344532)
11,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.2398794802568927 5.546604938079511)
12,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.2213759601593229 5.579517375239935)
13,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.2059005448463085 5.5471425773164045)
14,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-2.3189177970580683 7.3332617059034435)
15,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.6883036086001706 6.164702214700272)
16,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-0.8234798210674427 6.01353861702204)
17,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-2.2220733023615225 6.246349834604122)
18,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.9313271903348317 5.9592540858301)
19,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.779678184310317 5.96296666461531)
20,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.6157099507345527 6.677565036797579)
21,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-0.3688948238279268 6.209397072874249)
22,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-2.4883008637766277 10.07059828882552)
23,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-0.4601952819168336 10.947834802739816)
24,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.8561360317082201 10.626591784727779)
25,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-0.8703004880778489 10.794763987634562)
26,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-2.0004966006991056 5.313437133835765)
27,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-2.423362645177586 9.260274162063482)
28,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-0.8534265363349128 9.419481744975004)
29,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (-1.9909450499999999 10.863942900000001)
30,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (1.1849115 6.1235252000000004)
31,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-2.1385191 5.4378489000000005)
32,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-2.1387945680154647 5.436826115775482)
33,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.1047335208494155 5.6170347987169675)
34,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.9544462999999996 5.3607324)
35,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-2.232975945867752 8.277259187006148)
36,1,295932761.9047619,0,0,0,1,1,0,161000,1.1,0.9,POINT (1.17435565 6.16711075)
37,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.3435447 5.099000950000001)
