f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin
9,51,0,0,0,1000,1,1,0,0,1.1,0.9
8,42,0,0,0,1000,1,1,0,0,1.1,0.9
89,88,0,0,0,1000,1,1,0,0,1.1,0.9
42,42,0,0,0,1000,1,1,0,0,1.1,0.9
92,4,0,0,0,1000,1,1,0,0,1.1,0.9
77,4,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
95,33,0,0,0,1000,1,1,0,0,1.1,0.9
56,18,0,0,0,1000,1,1,0,0,1.1,0.9
59,59,0,0,0,1000,1,1,0,0,1.1,0.9
13,1,0,0,0,1000,1,1,0,0,1.1,0.9
1,104,0,0,0,1000,1,1,0,0,1.1,0.9
29,29,0,0,0,1000,1,1,0,0,1.1,0.9
29,29,0,0,0,1000,1,1,0,0,1.1,0.9
29,29,0,0,0,1000,1,1,0,0,1.1,0.9
29,29,0,0,0,1000,1,1,0,0,1.1,0.9
29,29,0,0,0,1000,1,1,0,0,1.1,0.9
3,4,0,0,0,1000,1,1,0,0,1.1,0.9
34,5,0,0,0,1000,1,1,0,0,1.1,0.9
34,5,0,0,0,1000,1,1,0,0,1.1,0.9
26,34,0,0,0,1000,1,1,0,0,1.1,0.9
5,34,0,0,0,1000,1,1,0,0,1.1,0.9
7,3,0,0,0,1000,1,1,0,0,1.1,0.9
3,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,3,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
66,2,0,0,0,1000,1,1,0,0,1.1,0.9
9,6,0,0,0,1000,1,1,0,0,1.1,0.9
52,9,0,0,0,1000,1,1,0,0,1.1,0.9
52,9,0,0,0,1000,1,1,0,0,1.1,0.9
61,72,0,0,0,1000,1,1,0,0,1.1,0.9
52,9,0,0,0,1000,1,1,0,0,1.1,0.9
5,19,0,0,0,1000,1,1,0,0,1.1,0.9
2,5,0,0,0,1000,1,1,0,0,1.1,0.9
20,3,0,0,0,1000,1,1,0,0,1.1,0.9
3,7,0,0,0,1000,1,1,0,0,1.1,0.9
20,3,0,0,0,1000,1,1,0,0,1.1,0.9
3,91,0,0,0,1000,1,1,0,0,1.1,0.9
62,6,0,0,0,1000,1,1,0,0,1.1,0.9
52,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,51,0,0,0,1000,1,1,0,0,1.1,0.9
13,74,0,0,0,1000,1,1,0,0,1.1,0.9
14,18,0,0,0,1000,1,1,0,0,1.1,0.9
17,17,0,0,0,1000,1,1,0,0,1.1,0.9
18,16,0,0,0,1000,1,1,0,0,1.1,0.9
20,55,0,0,0,1000,1,1,0,0,1.1,0.9
65,72,0,0,0,1000,1,1,0,0,1.1,0.9
14,15,0,0,0,1000,1,1,0,0,1.1,0.9
5,13,0,0,0,1000,1,1,0,0,1.1,0.9
55,39,0,0,0,1000,1,1,0,0,1.1,0.9
68,39,0,0,0,1000,1,1,0,0,1.1,0.9
15,20,0,0,0,1000,1,1,0,0,1.1,0.9
13,5,0,0,0,1000,1,1,0,0,1.1,0.9
3,3,0,0,0,1000,1,1,0,0,1.1,0.9
0,68,0,0,0,1000,1,1,0,0,1.1,0.9
56,94,0,0,0,1000,1,1,0,0,1.1,0.9
14,30,0,0,0,1000,1,1,0,0,1.1,0.9
59,59,0,0,0,1000,1,1,0,0,1.1,0.9
69,36,0,0,0,1000,1,1,0,0,1.1,0.9
24,22,0,0,0,1000,1,1,0,0,1.1,0.9
50,49,0,0,0,1000,1,1,0,0,1.1,0.9
88,88,0,0,0,1000,1,1,0,0,1.1,0.9
21,26,0,0,0,1000,1,1,0,0,1.1,0.9
88,27,0,0,0,1000,1,1,0,0,1.1,0.9
24,27,0,0,0,1000,1,1,0,0,1.1,0.9
22,22,0,0,0,1000,1,1,0,0,1.1,0.9
54,54,0,0,0,1000,1,1,0,0,1.1,0.9
43,27,0,0,0,1000,1,1,0,0,1.1,0.9
8,50,0,0,0,1000,1,1,0,0,1.1,0.9
21,21,0,0,0,1000,1,1,0,0,1.1,0.9
59,59,0,0,0,1000,1,1,0,0,1.1,0.9
29,29,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
42,51,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
53,45,0,0,0,1000,1,1,0,0,1.1,0.9
49,25,0,0,0,1000,1,1,0,0,1.1,0.9
85,85,0,0,0,1000,1,1,0,0,1.1,0.9
85,85,0,0,0,1000,1,1,0,0,1.1,0.9
43,43,0,0,0,1000,1,1,0,0,1.1,0.9
43,43,0,0,0,1000,1,1,0,0,1.1,0.9
2,2,0,0,0,1000,1,1,0,0,1.1,0.9
44,44,0,0,0,1000,1,1,0,0,1.1,0.9
44,44,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
45,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,45,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
45,98,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
74,74,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
98,98,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
3,3,0,0,0,1000,1,1,0,0,1.1,0.9
38,35,0,0,0,1000,1,1,0,0,1.1,0.9
90,35,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
42,42,0,0,0,1000,1,1,0,0,1.1,0.9
42,42,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
9,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
9,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
4,7,0,0,0,1000,1,1,0,0,1.1,0.9
7,7,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
4,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,4,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,92,0,0,0,1000,1,1,0,0,1.1,0.9
92,9,0,0,0,1000,1,1,0,0,1.1,0.9
4,7,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
7,4,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
4,4,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,8,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
45,45,0,0,0,1000,1,1,0,0,1.1,0.9
51,51,0,0,0,1000,1,1,0,0,1.1,0.9
51,45,0,0,0,1000,1,1,0,0,1.1,0.9
51,45,0,0,0,1000,1,1,0,0,1.1,0.9
51,45,0,0,0,1000,1,1,0,0,1.1,0.9
51,51,0,0,0,1000,1,1,0,0,1.1,0.9
51,51,0,0,0,1000,1,1,0,0,1.1,0.9
71,90,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
71,8,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
65,52,0,0,0,1000,1,1,0,0,1.1,0.9
65,52,0,0,0,1000,1,1,0,0,1.1,0.9
65,52,0,0,0,1000,1,1,0,0,1.1,0.9
72,52,0,0,0,1000,1,1,0,0,1.1,0.9
72,65,0,0,0,1000,1,1,0,0,1.1,0.9
52,9,0,0,0,1000,1,1,0,0,1.1,0.9
72,52,0,0,0,1000,1,1,0,0,1.1,0.9
72,72,0,0,0,1000,1,1,0,0,1.1,0.9
35,35,0,0,0,1000,1,1,0,0,1.1,0.9
7,20,0,0,0,1000,1,1,0,0,1.1,0.9
15,15,0,0,0,1000,1,1,0,0,1.1,0.9
15,15,0,0,0,1000,1,1,0,0,1.1,0.9
21,21,0,0,0,1000,1,1,0,0,1.1,0.9
5,5,0,0,0,1000,1,1,0,0,1.1,0.9
2,2,0,0,0,1000,1,1,0,0,1.1,0.9
54,22,0,0,0,1000,1,1,0,0,1.1,0.9
20,20,0,0,0,1000,1,1,0,0,1.1,0.9
55,55,0,0,0,1000,1,1,0,0,1.1,0.9
55,55,0,0,0,1000,1,1,0,0,1.1,0.9
55,55,0,0,0,1000,1,1,0,0,1.1,0.9
55,55,0,0,0,1000,1,1,0,0,1.1,0.9
55,55,0,0,0,1000,1,1,0,0,1.1,0.9
55,0,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,14,0,0,0,1000,1,1,0,0,1.1,0.9
14,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,19,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,19,0,0,0,1000,1,1,0,0,1.1,0.9
19,19,0,0,0,1000,1,1,0,0,1.1,0.9
19,68,0,0,0,1000,1,1,0,0,1.1,0.9
19,19,0,0,0,1000,1,1,0,0,1.1,0.9
19,19,0,0,0,1000,1,1,0,0,1.1,0.9
1,1,0,0,0,1000,1,1,0,0,1.1,0.9
1,1,0,0,0,1000,1,1,0,0,1.1,0.9
18,18,0,0,0,1000,1,1,0,0,1.1,0.9
